DATE,DS (DU),ZC (DU)
Jan-06,269.6,261.6
Jan-07,271.1,260.4
Jan-08,272.8,254.8
Jan-09,270.1,263.8
Jan-10,268.4,258.2
Jan-11,275.1,267.1
Jan-12,266.2,257.4
Jan-13,259.7,261.4
Jan-14,269.4,260.4
Jan-15,267.9,258
Jan-16,268,255.8
Jan-17,269,258.6
Jan-18,272,261.2
Jan-19,270.6,261
Jan-20,270.3,259.8
Jan-21,266.5,255.4
Jan-22,263,249.9
Jan-23,262.3,250.7
Jan-24,261.5,250.6
Jan-25,264.5,254.2
Jan-26,263.4,256.7
Jan-27,259.4,256.2
Jan-28,259.4,254.2
Jan-29,260,252.4
Jan-30,255.3,252.2
Jan-31,260.1,252.1
Feb-01,262,252.1
Feb-02,258.7,254.3
Feb-03,260.5,250.5
Feb-04,264.4,254.4
Feb-05,265,253.3
Feb-06,265.2,252.8
Feb-07,265.4,254.1
Feb-08,268.4,254.7
Feb-09,270,261.1
Feb-10,269.4,255.9
Feb-11,269,262.1
Feb-12,267.2,260.4
Feb-13,271,262.4
Feb-14,267.4,259.8
Feb-15,268.9,256.9
Feb-16,269.4,256.7
Feb-17,270.1,259.6
Feb-18,273,260.9
Feb-19,274.2,261.7
Feb-20,273.9,259.6
Feb-21,269.6,256.1
Feb-22,269.8,257.1
Feb-23,269.6,255.7
Feb-24,269.9,257
Feb-25,275.6,263.1
Feb-26,275.9,264.5
Feb-27,278.4,266
Feb-28,273.9,262.6
Mar-01,265,256.5
Mar-02,272.2,261.3
Mar-03,272.2,260.2
Mar-04,270.5,261.3
Mar-05,268,257.9
Mar-06,261.7,249.4
Mar-07,263.2,249.3
Mar-08,264.7,254.8
Mar-09,265.2,257.1
Mar-10,263.3,257.3
Mar-11,263.7,252.1
Mar-12,264.2,259.8
Mar-13,265.8,260.2
Mar-14,269.1,255.6
Mar-15,264,251.6
Mar-16,270.5,260.8
Mar-17,265.9,257.4
Mar-18,264.4,256.6
Mar-19,264.2,260.9
Mar-20,266.3,260.8
Mar-21,263.6,256.8
Mar-22,261,249.4
Mar-23,263.1,255.8
Mar-24,259.6,259.9
Mar-25,252.1,255.3
Mar-26,261.3,252.3
Mar-27,,257.1
Mar-28,,255
Mar-29,261.7,252.8
Mar-30,262.6,257.2
Mar-31,261.8,254.2
Apr-01,264.1,254.9
Apr-02,264.7,255.7
Apr-03,271.8,266.5
Apr-04,275.2,267.9
Apr-05,269.6,263.9
Apr-06,267.1,265.5
Apr-07,276.3,267.1
Apr-08,278.7,273.4
Apr-09,278,268.6
Apr-10,273.6,272.4
Apr-11,277.6,268
Apr-12,274.6,272.1
Apr-13,272.8,267.9
Apr-14,271.5,265.8
Apr-15,273,266.8
Apr-16,273.8,270.7
Apr-17,276.1,265.9
Apr-18,271.6,267.5
Apr-19,273.5,262.8
Apr-20,275,265.3
Apr-21,270.8,265.5
Apr-22,272.3,270
Apr-23,267.1,269
Apr-24,266.6,268.9
Apr-25,277.9,273.3
Apr-26,280.5,272.3
Apr-27,280.2,273
Apr-28,279.8,274.1
Apr-29,281.2,272.8
Apr-30,276.7,277.9
May-01,274.9,271.9
May-02,267,271.6
May-03,276.4,266.9
May-04,277,273.4
May-05,272.5,271.3
May-06,269.1,268.7
May-07,268.8,261.3
May-08,266.7,262.3
May-09,263.9,257
May-10,263.9,255.9
May-11,263.2,255.3
May-12,265.9,256.7
May-13,268.2,259.2
May-14,268.9,262.1
May-15,269.9,261.7
May-16,273.6,268
May-17,279.1,273.5
May-18,272.5,269.9
May-19,267.9,266.6
May-20,271.9,269.2
May-21,272.2,267.9
May-22,276.4,272.8
May-23,268.6,267.3
May-24,265.7,265.6
May-25,266,265.5
May-26,,268.6
May-27,268.1,265
May-28,272,263.8
