pcdate pctime time date flags o3 hio3 cellai cellbi bncht lmpt o3lt flowa flowb pres
2025-05-17 11:01:29 11:01 05-17-25 0C105000 36.555 0.000 42063 41441 28.1 53.1 0.0 0.542 0.545 493.1
2025-05-17 11:02:00 11:01 05-17-25 0C105000 36.555 0.000 42063 41441 28.1 53.1 0.0 0.542 0.545 493.1
2025-05-17 11:03:01 11:03 05-17-25 0C105000 35.877 0.000 42058 41436 28.1 53.1 0.0 0.541 0.544 493.1
2025-05-17 11:04:01 11:04 05-17-25 0C105000 37.676 0.000 42057 41433 28.1 53.1 0.0 0.544 0.548 493.1
2025-05-17 11:05:01 11:05 05-17-25 0C105000 37.081 0.000 42057 41434 28.1 53.1 0.0 0.540 0.543 493.1
2025-05-17 11:06:01 11:06 05-17-25 0C105000 33.802 0.000 42058 41437 28.1 53.1 0.0 0.539 0.542 492.8
2025-05-17 11:07:00 11:06 05-17-25 0C105000 33.802 0.000 42058 41437 28.1 53.1 0.0 0.539 0.542 492.8
2025-05-17 11:08:01 11:08 05-17-25 0C105000 32.219 0.000 42060 41439 28.1 53.1 0.0 0.543 0.545 493.1
2025-05-17 11:09:01 11:09 05-17-25 0C105000 32.179 0.000 42059 41436 28.2 53.1 0.0 0.544 0.547 493.1
2025-05-17 11:10:01 11:10 05-17-25 0C105000 37.536 0.000 42063 41440 28.2 53.1 0.0 0.544 0.546 492.8
2025-05-17 11:11:01 11:11 05-17-25 0C105000 37.702 0.000 42061 41438 28.2 53.1 0.0 0.539 0.543 492.8
2025-05-17 11:12:01 11:12 05-17-25 0C105000 37.592 0.000 42056 41436 28.2 53.1 0.0 0.543 0.546 493.1
2025-05-17 11:13:01 11:13 05-17-25 0C105000 37.785 0.000 42056 41434 28.3 53.1 0.0 0.543 0.546 493.1
2025-05-17 11:14:00 11:13 05-17-25 0C105000 37.785 0.000 42056 41434 28.3 53.1 0.0 0.543 0.546 493.1
2025-05-17 11:15:01 11:15 05-17-25 0C105000 36.932 0.000 42052 41431 28.4 53.1 0.0 0.543 0.545 493.1
2025-05-17 11:16:01 11:16 05-17-25 0C105000 37.254 0.000 42052 41431 28.4 53.1 0.0 0.542 0.545 493.1
2025-05-17 11:17:01 11:16 05-17-25 0C105000 37.254 0.000 42052 41431 28.4 53.1 0.0 0.542 0.545 493.1
2025-05-17 11:18:01 11:18 05-17-25 0C105000 37.947 0.000 42050 41430 28.5 53.1 0.0 0.541 0.543 492.8
2025-05-17 11:19:00 11:18 05-17-25 0C105000 37.947 0.000 42050 41430 28.5 53.1 0.0 0.541 0.543 492.8
2025-05-17 11:20:01 11:20 05-17-25 0C105000 39.107 0.000 42055 41433 28.5 53.1 0.0 0.543 0.547 493.1
2025-05-17 11:21:00 11:20 05-17-25 0C105000 39.107 0.000 42055 41433 28.5 53.1 0.0 0.543 0.547 493.1
2025-05-17 11:22:01 11:22 05-17-25 0C105000 40.939 0.000 42055 41434 28.5 53.1 0.0 0.538 0.541 493.1
2025-05-17 11:23:01 11:23 05-17-25 0C105000 39.769 0.000 42056 41434 28.4 53.1 0.0 0.539 0.543 493.1
2025-05-17 11:24:01 11:23 05-17-25 0C105000 39.769 0.000 42056 41434 28.4 53.1 0.0 0.539 0.543 493.1
2025-05-17 11:25:01 11:25 05-17-25 0C105000 37.787 0.000 42055 41433 28.4 53.1 0.0 0.544 0.547 493.1
2025-05-17 11:26:00 11:25 05-17-25 0C105000 37.787 0.000 42055 41433 28.4 53.1 0.0 0.544 0.547 493.1
2025-05-17 11:27:01 11:27 05-17-25 0C105000 37.661 0.000 42051 41428 28.3 53.1 0.0 0.540 0.544 492.8
2025-05-17 11:28:01 11:28 05-17-25 0C105000 34.290 0.000 42050 41432 28.3 53.1 0.0 0.544 0.547 493.1
2025-05-17 11:29:00 11:28 05-17-25 0C105000 34.290 0.000 42050 41432 28.3 53.1 0.0 0.544 0.547 493.1
2025-05-17 11:30:01 11:30 05-17-25 0C105000 35.202 0.000 42046 41426 28.3 53.1 0.0 0.543 0.547 492.8
2025-05-17 11:31:00 11:30 05-17-25 0C105000 35.202 0.000 42046 41426 28.3 53.1 0.0 0.543 0.547 492.8
2025-05-17 11:32:01 11:32 05-17-25 0C105000 38.683 0.000 42046 41425 28.4 53.1 0.0 0.537 0.540 492.8
2025-05-17 11:33:00 11:32 05-17-25 0C105000 38.683 0.000 42046 41425 28.4 53.1 0.0 0.537 0.540 492.8
2025-05-17 11:34:01 11:34 05-17-25 0C105000 39.013 0.000 42046 41426 28.4 53.1 0.0 0.544 0.547 492.8
2025-05-17 11:35:01 11:35 05-17-25 0C105000 37.823 0.000 42044 41420 28.5 53.1 0.0 0.541 0.546 492.8
2025-05-17 11:36:00 11:35 05-17-25 0C105000 37.823 0.000 42044 41420 28.5 53.1 0.0 0.541 0.546 492.8
